Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name,Usage
KEY_LANGUAGE__ISO639_NAME,316,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
KEY_OBJECT_NAME,317,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
KEY_OBJECT_POSITION,318,,LOGDT011,717,15,,,INTEGER,Integer,
KEY_OBJECT_TYPE,319,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_OWNER,320,cee_id_employee,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_PLATFORM,321,server name,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_REFERENCE,322,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
KEY_Surrogate_Key,323,,LOGDT011,717,13,,,INTEGER,Integer,
KEY_TYPE_CAL,324,,LOGDT024,752,5,,,VARCHAR,VARCHAR,
KEY_TYPE_SCHEMA,325,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
KEY_UPDATED_BY,326,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ms_timestamp,327,,LOGDT017,691,,,,UNKNOWN,unknown,
NAME,328,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
NAME_120,329,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
NAME_30,330,,LOGDT024,752,30,,,VARCHAR,VARCHAR,
NAME_80,331,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
NAME_COMPANY,332,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
NAME_FIRST,333,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
NAME_LAST,334,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
NAME_MI,335,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
name_short,336,abbreviation,LOGDT024,752,20,,,VARCHAR,VARCHAR,
NO,337,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
NO_CHAR10,338,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
NO_CHAR20,339,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
NO_CHAR40,340,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
NO_EMPLOYEE,341,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
NO_USER,342,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ORG_BU,343,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ORG_BU_ABBR,344,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ORG_BU_ID,345,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
ORG_CMPY,346,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ORG_CMPY_ABBR,347,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ORG_CMPY_ID,348,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
ORG_DIV,349,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ORG_DIV_ABBR,350,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ORG_DIV_ID,351,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
ORG_DPT,352,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
ORG_DPT_ABBR,353,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ORG_DPT_CC,354,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
ORG_DPT_ID,355,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
ORG_LEVEL1,356,,LOGDT017,691,20,,,UNKNOWN,unknown,
ORG_LEVEL2,357,,LOGDT017,691,20,,,UNKNOWN,unknown,
ORG_LEVEL3,358,,LOGDT017,691,20,,,UNKNOWN,unknown,
ORG_LEVEL4,359,,LOGDT017,691,20,,,UNKNOWN,unknown,
ORG_LEVEL5,360,,LOGDT017,691,20,,,UNKNOWN,unknown,
ORG_LEVEL6,361,,LOGDT017,691,20,,,UNKNOWN,unknown,
PERSON_GENDER,362,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
PERSON_HONORIFICATION,363,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
PERSON_SALUTATION,364,,LOGDT024,752,5,,,VARCHAR,VARCHAR,
QUANTITY_19_0,365,,LOGDT017,691,19,19,0,UNKNOWN,unknown,
QUANTITY_19_2,366,,LOGDT017,691,19,19,2,UNKNOWN,unknown,
RANGE_CONTRACT,367,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
RANGE_LEASE_A,368,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
RANGE_LEASE_B,369,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
REVENUE_19_2,635,,LOGDT026,708,19,19,2,DECIMAL,DECIMAL,
REVENUE_RANGE,636,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
